,start_date,end_date,self_perceived_masculinity,importance_of_being_seen_as_masculine,source_of_masculinity_father_figure,source_of_masculinity_mother_figure,source_of_masculinity_family_members,source_of_masculinity_pop_culture,source_of_masculinity_friends,source_of_masculinity_other,societal_pressure_on_men,lifestyle_ask_friend_professional_advice,lifestyle_ask_friend_personal_advice,lifestyle_show_affection_to_male_friends,lifestyle_crying,lifestyle_physical_fight,lifestyle_sexual_relations_with_women,lifestyle_sexual_relations_with_men,lifestyle_watch_sports,lifestyle_work_out,lifestyle_see_therapist,lifestyle_feel_lonely_or_isolated,daily_worry_height,daily_worry_weight,daily_worry_hair,daily_worry_physique,daily_worry_genitalia,daily_worry_clothing_style,daily_worry_sexual_performance,daily_worry_mental_health,daily_worry_physical_health,daily_worry_finances,daily_worry_provide_for_family,daily_worry_none,employment_status,advantage_of_being_a_man_more_money,advantage_of_being_a_man_taken_more_seriously,advantage_of_being_a_man_more_choice,advantage_of_being_a_man_more_promotion_opportunities,advantage_of_being_a_man_praised_more,advantage_of_being_a_man_more_manager_support,advantage_of_being_a_man_other,advantage_of_being_a_man_none,disadvantage_of_being_a_man_hiring_promoting_women,disadvantage_of_being_a_man_risk_accusation_harassment,disadvantage_of_being_a_man_risk_accusation_bias,disadvantage_of_being_a_man_other,disadvantage_of_being_a_man_none,response_to_harassment_confronted_accused,response_to_harassment_contacted_hr,response_to_harassment_contacted_manager,response_to_harassment_supported_victim,response_to_harassment_did_nothing,response_to_harassment_never_witnessed,response_to_harassment_other,reason_for_no_response,heard_about_metoo,behavior_changed_at_work_due_to_metoo,expected_to_make_first_move,how_often_pay_on_date,reason_for_paying_on_date_right_thing,reason_for_paying_on_date_earn_more,reason_for_paying_on_date_feel_good,reason_for_paying_on_date_societal_expectations,reason_for_paying_on_date_obligation_for_asking_out,reason_for_paying_on_date_test_response,reason_for_paying_on_date_other,gauge_interest_by_body_language,gauge_interest_by_verbal_consent,gauge_interest_by_physical_move,gauge_interest_situation_different,gauge_interest_unclear,gauge_interest_other,boundary_wondered_if_pushed_too_far,boundary_discussed_with_friends,boundary_contacted_past_partner,boundary_none_above,changed_behavior_in_relationships_due_to_metoo,marital_status,has_children_under_18,has_children_over_18,no_children,sexual_orientation,race,education_level,state,income_bracket,us_region,device_and_os_usage,race_classification,race_and_ethnicity_detailed,education_level_grouped,education_level_detailed,age_group,has_kids,sexual_orientation_label,response_weight,daily_worries
238,5/15/18 7:14,5/15/18 7:40,Somewhat masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Friends,Not selected,No,Rarely,Sometimes,Sometimes,Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Rarely,Rarely,Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Some,No,No,Sometimes,,,,,,,,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,College graduate,California,"$100,000-$124,999",Pacific,Windows Desktop / Laptop,White,White,College or more,College or more,35 - 64,No children,Straight,0.528111461,"Your weightYour physical healthYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
239,5/15/18 8:13,5/15/18 8:17,Very masculine,Very important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Sometimes,Sometimes,Sometimes,Rarely,"Never, but open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,Not selected,Your weight,Your hair or hairline,Your physique,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Greater risk of being accused of sexual harassment,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Only a little,No,Yes,Always,It?s the right thing to do,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,Post graduate degree,California,Prefer not to answer,Pacific,Windows Desktop / Laptop,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.100822157,"Your weightYour hair or hairlineYour physiqueYour physical healthYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
240,5/15/18 8:15,5/15/18 8:21,Somewhat masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Friends,Not selected,No,Sometimes,Sometimes,Sometimes,Sometimes,"Never, but open to it",Sometimes,"Never, and not open to it",Often,Sometimes,Rarely,Sometimes,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Sexual performance or amount of sex,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Not employed, looking for work",,,,,,,,,,,,,,,,,,,,,,,,Yes,Often,Not selected,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",You try to pay to see if the other person will offer to share in the cost,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Yes,Never married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Massachusetts,"$200,000+",New England,iOS Phone / Tablet,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.069709778,"Your weightYour physiqueSexual performance or amount of sexYour mental healthYour physical healthYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
241,5/15/18 8:23,5/15/18 8:32,Very masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Friends,Not selected,No,Often,Sometimes,Sometimes,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Only a little,No,Yes,Often,It?s the right thing to do,Not selected,You feel good about being the one who pays,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,No,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,White,College graduate,New York,Prefer not to answer,Middle Atlantic,Windows Desktop / Laptop,White,White,College or more,College or more,35 - 64,Has children,Straight,0.67857412,Your weightYour physique
242,5/15/18 8:23,5/15/18 8:42,Very masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Not selected,Friends,Not selected,Yes,Often,Often,Often,Rarely,Rarely,Often,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it","Never, but open to it",Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,A lot,No,Yes,Sometimes,,,,,,,,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,"Yes, one or more children under 18",Not selected,Not selected,Straight,White,College graduate,California,"$25,000-$49,999",Pacific,Windows Desktop / Laptop,White,White,College or more,College or more,18 - 34,Has children,Straight,1.679588526,"Your weightYour mental healthYour physical healthYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
243,5/15/18 9:16,5/15/18 9:23,Somewhat masculine,Not too important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,No,Rarely,Rarely,Rarely,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Rarely,Rarely,Often,Sometimes,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Often,It?s the right thing to do,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,College graduate,Kentucky,"$50,000-$74,999",East South Central,Windows Desktop / Laptop,White,White,College or more,College or more,35 - 64,No children,Straight,0.646701035,"Your weightYour mental healthYour physical healthYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
244,5/15/18 9:25,5/15/18 9:31,Somewhat masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Pop culture,Friends,Not selected,Yes,Often,Often,Often,Sometimes,"Never, and not open to it","Never, and not open to it",Often,Rarely,Often,Rarely,Sometimes,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Men make more money,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected,Managers want to hire and promote women,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,A lot,No,No,Sometimes,,,,,,,,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Gay,Hispanic,College graduate,Wisconsin,"$25,000-$49,999",East North Central,iOS Phone / Tablet,Non-white,Hispanic,College or more,College or more,18 - 34,No children,Gay/Bisexual,4.213356822,"Your weightYour physiqueYour mental healthYour physical healthYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
245,5/15/18 9:26,5/15/18 9:32,Somewhat masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Friends,Not selected,Yes,Often,Sometimes,Often,Sometimes,Rarely,"Never, and not open to it",Often,Rarely,Often,"Never, but open to it",Rarely,Your height,Your weight,Not selected,Your physique,Appearance of your genitalia,Your clothing or style,Sexual performance or amount of sex,Your mental health,Not selected,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected,Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,A lot,Yes,Yes,Often,Not selected,Not selected,You feel good about being the one who pays,Not selected,Not selected,Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Talked with a friend or friends about whether you pushed a partner too far.,Not selected,Not selected,No,Never married,Not selected,Not selected,No children,Gay,Hispanic,College graduate,California,"$50,000-$74,999",Pacific,MacOS Desktop / Laptop,Non-white,Hispanic,College or more,College or more,18 - 34,No children,Gay/Bisexual,4.320422125,"Your heightYour weightYour physiqueAppearance of your genitaliaYour clothing or styleSexual performance or amount of sexYour mental healthYour finances, including your current or future income, assets, or debt"
246,5/15/18 9:30,5/15/18 9:36,Somewhat masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Friends,Not selected,Yes,Rarely,Rarely,Often,Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it",Rarely,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,No,Sometimes,,,,,,,,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,Oregon,"$50,000-$74,999",Pacific,iOS Phone / Tablet,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.056642551,None of the above
247,5/15/18 9:32,5/15/18 9:38,Very masculine,Not too important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Other (please specify),Yes,Sometimes,Often,Often,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Often,Often,Often,Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Often,Not selected,You make more money than your date,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Washington,Prefer not to answer,Pacific,MacOS Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.019744451,Your physical health
248,5/15/18 9:34,5/15/18 9:48,Somewhat masculine,Very important,Father or father figure(s),Not selected,Other family members,Pop culture,Not selected,Not selected,No,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,"Never, and not open to it",Often,Often,Rarely,Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Men make more money,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,A lot,No,No,Always,It?s the right thing to do,Not selected,Not selected,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Washington,"$200,000+",Pacific,Windows Desktop / Laptop,White,White,College or more,College or more,35 - 64,Has children,Straight,0.397412793,"Your weightYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
249,5/15/18 9:34,5/15/18 9:40,Very masculine,Very important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,No,Often,Often,Sometimes,Rarely,Rarely,Rarely,"Never, and not open to it",Often,Rarely,Rarely,Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,No,Sometimes,,,,,,,,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Widowed,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Pennsylvania,"$175,000-$199,999",Middle Atlantic,iOS Phone / Tablet,White,White,College or more,College or more,65 and up,Has children,Straight,0.452883113,None of the above
250,5/15/18 9:42,5/15/18 9:58,Very masculine,Very important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Not selected,Other (please specify),No,Rarely,Rarely,"Never, and not open to it",Rarely,"Never, but open to it",Sometimes,"Never, and not open to it",Sometimes,Sometimes,Often,Sometimes,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Not selected,Not selected,"Your ability to provide for your family, current or anticipated",Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Always,It?s the right thing to do,You make more money than your date,You feel good about being the one who pays,Not selected,Not selected,Not selected,Other (please specify),Read their physical body language to see if they are interested,Not selected,Make a physical move to see how they react,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Yes,Married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Nevada,"$150,000-$174,999",Mountain,MacOS Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.05465732,"Your weightYour mental healthYour ability to provide for your family, current or anticipated"
251,5/15/18 10:10,5/15/18 10:23,Somewhat masculine,Very important,Not selected,Not selected,Not selected,Not selected,Friends,Other (please specify),Yes,Sometimes,Sometimes,"Never, and not open to it","Never, but open to it","Never, and not open to it","Never, but open to it","Never, and not open to it",Rarely,Sometimes,Often,Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Your clothing or style,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Always,It?s the right thing to do,Not selected,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Make a physical move to see how they react,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Divorced,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Some college,Indiana,"$10,000-$24,999",East North Central,Windows Desktop / Laptop,White,White,Some college,Some college,65 and up,Has children,Straight,0.600640079,"Your clothing or styleYour mental healthYour physical healthYour finances, including your current or future income, assets, or debt"
252,5/15/18 10:14,5/15/18 10:17,Somewhat masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Not selected,Not selected,Yes,Sometimes,Rarely,Rarely,Rarely,"Never, and not open to it",Often,"Never, and not open to it","Never, but open to it",Rarely,"Never, but open to it","Never, and not open to it",Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Nothing at all,,Yes,Often,It?s the right thing to do,Not selected,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,White,College graduate,Florida,Prefer not to answer,South Atlantic,Android Phone / Tablet,White,White,College or more,College or more,18 - 34,Has children,Straight,1.736894488,"Your weightYour physiqueYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
253,5/15/18 10:23,5/15/18 10:49,Very masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Not selected,Not selected,Yes,Often,Sometimes,Sometimes,Rarely,"Never, but open to it",Often,"Never, and not open to it",Often,Often,"Never, but open to it",Sometimes,Your height,Your weight,Not selected,Your physique,Appearance of your genitalia,Your clothing or style,Sexual performance or amount of sex,Your mental health,Not selected,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Nothing at all,,Yes,Often,It?s the right thing to do,You make more money than your date,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Straight,White,College graduate,North Carolina,"$25,000-$49,999",South Atlantic,Windows Desktop / Laptop,White,White,College or more,College or more,18 - 34,No children,Straight,1.580962197,"Your heightYour weightYour physiqueAppearance of your genitaliaYour clothing or styleSexual performance or amount of sexYour mental healthYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
254,5/15/18 10:24,5/15/18 10:31,Somewhat masculine,Somewhat important,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),No,Rarely,Rarely,"Never, but open to it",Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Often,"Never, but open to it","Never, but open to it",Rarely,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Only a little,No,No,Always,It?s the right thing to do,Not selected,You feel good about being the one who pays,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Straight,White,Some college,Florida,"$25,000-$49,999",South Atlantic,Windows Desktop / Laptop,White,White,Some college,Some college,35 - 64,No children,Straight,0.656781403,None of the above
255,5/15/18 11:09,5/15/18 11:14,Very masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Friends,Not selected,Yes,Sometimes,Sometimes,Rarely,Rarely,"Never, but open to it",Often,"Never, and not open to it",Rarely,Sometimes,Rarely,"Never, but open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),,A lot,No,No,Sometimes,,,,,,,,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,College graduate,Texas,"$150,000-$174,999",West South Central,iOS Phone / Tablet,White,White,College or more,College or more,35 - 64,No children,Straight,0.515567485,None of the above
256,5/15/18 11:09,5/15/18 11:17,Very masculine,Not too important,Father or father figure(s),Not selected,Other family members,Not selected,Friends,Other (please specify),Yes,Rarely,Rarely,Sometimes,Often,"Never, and not open to it","Never, and not open to it",Sometimes,Rarely,"Never, but open to it",Rarely,Rarely,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,No,Sometimes,,,,,,,,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Gay,White,Associate's degree,California,Prefer not to answer,Pacific,Windows Desktop / Laptop,White,White,Some college,Some college,65 and up,Has children,Gay/Bisexual,0.615179712,"Your mental healthYour physical healthYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
257,5/15/18 11:11,5/15/18 11:17,Not very masculine,Not too important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,No,Sometimes,Sometimes,"Never, and not open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,"Never, and not open to it","Never, but open to it","Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,No,Always,It?s the right thing to do,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,Florida,"$175,000-$199,999",South Atlantic,Windows Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026,None of the above
258,5/15/18 11:16,5/15/18 11:24,Not very masculine,Not at all important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Sometimes,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Often,Often,Rarely,Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Contacted the manager of the accused person,Reached out to the victim to offer support,Not selected,Not selected,Not selected,,A lot,No,No,Often,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Washington,"$75,000-$99,999",Pacific,Other,White,White,College or more,College or more,35 - 64,Has children,Straight,0.397412793,Your weight
259,5/15/18 11:37,5/15/18 11:43,Somewhat masculine,Not too important,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Often,Often,Sometimes,Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it","Never, but open to it","Never, but open to it",Often,Rarely,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Nothing at all,,No,Sometimes,,,,,,,,Not selected,Not selected,Not selected,Not selected,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Divorced,"Yes, one or more children under 18","Yes, one or more children 18 or older",Not selected,Straight,White,Associate's degree,Michigan,"$0-$9,999",East North Central,iOS Phone / Tablet,White,White,Some college,Some college,35 - 64,Has children,Straight,0.62074615,None of the above
